ST_CODE,ST_NAME,AC_NO,AC_NAME,CANDIDATE,YEAR,CANDIDATE_SEX,CANDIDATE_AGE,CANDIDATE_CATEGORY,PARTY,DIST_NAME,AC_TYPE,VOTES,,,,,,,,
S24,Uttar Pradesh,10,Shamli,MOHAMMAD ISLAM,2017,M,58,GEN,BSP,,,17114,,,,,,,,
S24,Uttar Pradesh,10,Shamli,None of the Above,2017,,,,NOTA,,,901,,,,,,,,
S24,Uttar Pradesh,10,Shamli,BILAL A,2017,M,27,GEN,PECP,,,820,,,,,,,,
S24,Uttar Pradesh,10,Shamli,SANJEEV KUMAR,2017,M,40,GEN,IND,,,379,,,,,,,,
S24,Uttar Pradesh,10,Shamli,SANJEEV,2017,M,34,GEN,IND,,,294,,,,,,,,
S24,Uttar Pradesh,10,Shamli,MOHD. GUFRAN KAZMI,2017,M,39,GEN,IND,,,294,,,,,,,,
S24,Uttar Pradesh,10,Shamli,ARVIND KUMAR,2017,M,42,SC,BMUP,,,278,,,,,,,,
S24,Uttar Pradesh,10,Shamli,OMPAL,2017,M,56,SC,BJD(T),,,233,,,,,,,,
S24,Uttar Pradesh,10,Shamli,LOKENDRA KUMAR,2017,M,45,GEN,IND,,,209,,,,,,,,
S24,Uttar Pradesh,11,Budhana,UMESH MALIK,2017,M,51,GEN,BJP,,,97781,,,,,,,,
S24,Uttar Pradesh,11,Budhana,PRAMOD TYAGI,2017,M,62,GEN,SP,,,84580,,,,,,,,
S24,Uttar Pradesh,11,Budhana,SAEEDA BEGAM,2017,F,42,GEN,BSP,,,30034,,,,,,,,
S24,Uttar Pradesh,11,Budhana,YOGRAJ SINGH,2017,M,44,GEN,RLD,,,23732,,,,,,,,
S24,Uttar Pradesh,11,Budhana,None of the Above,2017,,,,NOTA,,,1286,,,,,,,,
S24,Uttar Pradesh,11,Budhana,SHOBHA RAM,2017,M,65,GEN,IND,,,699,,,,,,,,
S24,Uttar Pradesh,11,Budhana,MOHD. RASHEED KASSAR,2017,M,39,GEN,IND,,,666,,,,,,,,
S24,Uttar Pradesh,11,Budhana,DINESH KUMAR,2017,M,25,SC,NINSHAD,,,611,,,,,,,,
S24,Uttar Pradesh,11,Budhana,JAMEEL,2017,M,63,GEN,NALP,,,400,,,,,,,,
S24,Uttar Pradesh,11,Budhana,MANOJ,2017,M,39,GEN,RKMP,,,361,,,,,,,,
S24,Uttar Pradesh,11,Budhana,RIZWAN,2017,M,32,GEN,IND,,,276,,,,,,,,
S24,Uttar Pradesh,11,Budhana,CH. RAJKUMAR BALIYAN,2017,M,58,GEN,IND,,,222,,,,,,,,
S24,Uttar Pradesh,11,Budhana,SUMAT PAL KASHYAP,2017,M,59,GEN,SHS,,,145,,,,,,,,
S24,Uttar Pradesh,11,Budhana,JAGAPAL,2017,M,56,GEN,IND,,,136,,,,,,,,
S24,Uttar Pradesh,11,Budhana,ANIL,2017,M,53,GEN,IND,,,106,,,,,,,,
S24,Uttar Pradesh,11,Budhana,MOHD. GULAFAM,2017,M,46,GEN,IND,,,81,,,,,,,,
S24,Uttar Pradesh,12,Charthawal,VIJAY KUMAR KASHYAP,2017,M,50,GEN,BJP,,,82046,,,,,,,,
S24,Uttar Pradesh,12,Charthawal,MUKESH KUMAR CHAUDHARY,2017,M,42,GEN,SP,,,58815,,,,,,,,
S24,Uttar Pradesh,12,Charthawal,NOOR SALEEM RANA,2017,M,46,GEN,BSP,,,47704,,,,,,,,
S24,Uttar Pradesh,12,Charthawal,SALMAN ZAIDI,2017,M,40,GEN,RLD,,,14442,,,,,,,,
S24,Uttar Pradesh,12,Charthawal,None of the Above,2017,,,,NOTA,,,1018,,,,,,,,
S24,Uttar Pradesh,12,Charthawal,VISHAL KUMAR,2017,M,38,GEN,NINSHAD,,,975,,,,,,,,
S24,Uttar Pradesh,12,Charthawal,AMITA SINGH,2017,F,59,GEN,LD,,,549,,,,,,,,
S24,Uttar Pradesh,12,Charthawal,ADESH KUMAR,2017,M,48,SC,IND,,,444,,,,,,,,
S24,Uttar Pradesh,12,Charthawal,FURAKAN,2017,M,48,GEN,IND,,,385,,,,,,,,
S24,Uttar Pradesh,12,Charthawal,JAIPAL SINGH SAINI,2017,M,66,GEN,JSP,,,305,,,,,,,,
S24,Uttar Pradesh,12,Charthawal,ARSAD MANSURI,2017,M,36,GEN,ABVCP,,,281,,,,,,,,
S24,Uttar Pradesh,13,Purqazi ,PRAMOD UTWAL,2017,M,49,SC,BJP,,,77491,,,,,,,,
S24,Uttar Pradesh,13,Purqazi ,DEEPAK KUMAR,2017,M,60,SC,INC,,,66238,,,,,,,,
S24,Uttar Pradesh,13,Purqazi ,ANIL KUMAR,2017,M,42,SC,BSP,,,46401,,,,,,,,
S24,Uttar Pradesh,13,Purqazi ,CHOTI,2017,F,43,SC,RLD,,,8227,,,,,,,,
S24,Uttar Pradesh,13,Purqazi ,UMA KIRAN,2017,F,51,SC,SP,,,2570,,,,,,,,
S24,Uttar Pradesh,13,Purqazi ,None of the Above,2017,,,,NOTA,,,1139,,,,,,,,
S24,Uttar Pradesh,13,Purqazi ,KAVITA,2017,F,30,SC,NINSHAD,,,871,,,,,,,,
S24,Uttar Pradesh,13,Purqazi ,ANIL KUMAR,2017,M,52,SC,BMUP,,,579,,,,,,,,
S24,Uttar Pradesh,13,Purqazi ,MANOJ KUMAR,2017,M,33,SC,IND,,,298,,,,,,,,
S24,Uttar Pradesh,13,Purqazi ,MITVA BHANVAR,2017,M,41,SC,NALP,,,260,,,,,,,,
S24,Uttar Pradesh,13,Purqazi ,AATMARAM,2017,M,61,SC,IND,,,245,,,,,,,,
S24,Uttar Pradesh,14,Muzaffar Nagar,KAPIL DEV AGARWAL,2017,M,53,GEN,BJP,,,97838,,,,,,,,
S24,Uttar Pradesh,14,Muzaffar Nagar,GAURAV SWARUP BANSAL,2017,M,47,GEN,SP,,,87134,,,,,,,,
S24,Uttar Pradesh,14,Muzaffar Nagar,RAKESH KUMAR SHARMA,2017,M,45,GEN,BSP,,,21038,,,,,,,,
S24,Uttar Pradesh,14,Muzaffar Nagar,PAYAL MAHESHWARI,2017,F,29,GEN,RLD,,,5640,,,,,,,,
S24,Uttar Pradesh,14,Muzaffar Nagar,None of the Above,2017,,,,NOTA,,,1133,,,,,,,,
S24,Uttar Pradesh,14,Muzaffar Nagar,SANGITA,2017,F,42,GEN,IND,,,1008,,,,,,,,
S24,Uttar Pradesh,14,Muzaffar Nagar,MURTAZA SALMANI,2017,M,27,GEN,CPI,,,491,,,,,,,,
S24,Uttar Pradesh,14,Muzaffar Nagar,SHAHZAMA KHAN,2017,M,30,GEN,IND,,,249,,,,,,,,
S24,Uttar Pradesh,14,Muzaffar Nagar,ZAKIR ALI RANA,2017,M,55,GEN,IND,,,240,,,,,,,,
S24,Uttar Pradesh,14,Muzaffar Nagar,RAJ KISHOR,2017,M,55,GEN,IND,,,199,,,,,,,,
S24,Uttar Pradesh,14,Muzaffar Nagar,KRISHAN PAL SINGH,2017,M,58,GEN,BLOKSP,,,177,,,,,,,,
S24,Uttar Pradesh,14,Muzaffar Nagar,JAMSHED,2017,M,54,GEN,IND,,,131,,,,,,,,
S24,Uttar Pradesh,14,Muzaffar Nagar,KARAN SINGH SAINI,2017,M,48,GEN,JSP,,,92,,,,,,,,
S24,Uttar Pradesh,14,Muzaffar Nagar,REENU ALIAS SAKSHI,2017,F,25,GEN,ABHM,,,81,,,,,,,,
S24,Uttar Pradesh,14,Muzaffar Nagar,BABITA,2017,F,39,GEN,BRJ,,,55,,,,,,,,
S24,Uttar Pradesh,14,Muzaffar Nagar,SANJAY KUMAR,2017,M,44,GEN,BJD(T),,,52,,,,,,,,
S24,Uttar Pradesh,14,Muzaffar Nagar,RISHI RAM,2017,M,51,GEN,IND,,,44,,,,,,,,
S24,Uttar Pradesh,15,Khatauli,VIKRAM SINGH,2017,M,48,GEN,BJP,,,94771,,,,,,,,
S24,Uttar Pradesh,15,Khatauli,CHANDAN SINGH CHAUHAN,2017,M,28,GEN,SP,,,63397,,,,,,,,
S24,Uttar Pradesh,15,Khatauli,SHIVAN SINGH SAINI,2017,M,33,GEN,BSP,,,37380,,,,,,,,
S24,Uttar Pradesh,15,Khatauli,SHAHNAWAZ RANA,2017,M,44,GEN,RLD,,,12846,,,,,,,,
S24,Uttar Pradesh,15,Khatauli,BRAHM SINGH,2017,M,59,GEN,CPI,,,823,,,,,,,,
S24,Uttar Pradesh,15,Khatauli,None of the Above,2017,,,,NOTA,,,694,,,,,,,,
S24,Uttar Pradesh,15,Khatauli,JANARDAN SHARMA,2017,M,64,GEN,HINUP,,,626,,,,,,,,
S24,Uttar Pradesh,15,Khatauli,YAJPAL,2017,M,61,GEN,IND,,,598,,,,,,,,
S24,Uttar Pradesh,15,Khatauli,SURENDRA KUMAR,2017,M,30,GEN,ABHM,,,332,,,,,,,,
S24,Uttar Pradesh,15,Khatauli,ADESH,2017,M,29,SC,BBPP,,,315,,,,,,,,
S24,Uttar Pradesh,15,Khatauli,DEEPAK KUMAR,2017,M,31,SC,IND,,,315,,,,,,,,
S24,Uttar Pradesh,15,Khatauli,BHARATVIR,2017,M,47,GEN,IND,,,312,,,,,,,,
S24,Uttar Pradesh,15,Khatauli,AASHI GAUR,2017,F,25,GEN,LD,,,207,,,,,,,,
S24,Uttar Pradesh,15,Khatauli,SATAYVEER SINGH,2017,M,60,GEN,IND,,,201,,,,,,,,
S24,Uttar Pradesh,15,Khatauli,BRAJ BHUSHAN,2017,M,49,GEN,BASAPA,,,148,,,,,,,,
S24,Uttar Pradesh,15,Khatauli,MAYA,2017,F,51,SC,ABVCP,,,131,,,,,,,,
S24,Uttar Pradesh,16,Meerapur,AVTAR SINGH BHADANA,2017,M,60,GEN,BJP,,,69035,,,,,,,,
S24,Uttar Pradesh,16,Meerapur,LIYAKAT ALI,2017,M,65,GEN,SP,,,68842,,,,,,,,
S24,Uttar Pradesh,16,Meerapur,NAWAZISH ALAM KHAN,2017,M,39,GEN,BSP,,,39689,,,,,,,,
S24,Uttar Pradesh,16,Meerapur,MITHLESHPAL,2017,F,53,GEN,RLD,,,22751,,,,,,,,
S24,Uttar Pradesh,16,Meerapur,None of the Above,2017,,,,NOTA,,,1090,,,,,,,,
S24,Uttar Pradesh,16,Meerapur,SANDEEP KUMAR,2017,M,29,GEN,NINSHAD,,,474,,,,,,,,
S24,Uttar Pradesh,16,Meerapur,IMRANA,2017,F,37,GEN,ABVCP,,,462,,,,,,,,
S24,Uttar Pradesh,16,Meerapur,MOH. MOOSA,2017,M,66,GEN,IND,,,451,,,,,,,,
S24,Uttar Pradesh,16,Meerapur,NABAB ALI,2017,M,35,GEN,IND,,,305,,,,,,,,
S24,Uttar Pradesh,16,Meerapur,MOH. JISHAN,2017,M,36,GEN,BMUP,,,292,,,,,,,,
S24,Uttar Pradesh,16,Meerapur,ADESH KUMAR,2017,M,52,GEN,IND,,,238,,,,,,,,
S24,Uttar Pradesh,16,Meerapur,MANOJ SAINI,2017,M,44,GEN,SHS,,,237,,,,,,,,
S24,Uttar Pradesh,16,Meerapur,MOTIRAM,2017,M,54,GEN,MKUP,,,200,,,,,,,,
S24,Uttar Pradesh,16,Meerapur,DHARAMVEER SINGH SAINI,2017,M,67,GEN,JSP,,,174,,,,,,,,
S24,Uttar Pradesh,16,Meerapur,ANJUM KAMAL,2017,M,37,GEN,IND,,,165,,,,,,,,
S24,Uttar Pradesh,17,Najibabad,TASLEEM AHMAD,2017,M,56,GEN,SP,,,81082,,,,,,,,
S24,Uttar Pradesh,17,Najibabad,RAJIV KUMAR AGARWAL,2017,M,52,GEN,BJP,,,79080,,,,,,,,
S24,Uttar Pradesh,17,Najibabad,JAMEEL AHMAD,2017,M,37,GEN,BSP,,,45070,,,,,,,,
S24,Uttar Pradesh,17,Najibabad,LEENA SINGHAL,2017,F,44,GEN,RLD,,,3587,,,,,,,,
S24,Uttar Pradesh,17,Najibabad,TAZEEM SIDDIQUI,2017,M,31,GEN,AIMIM,,,2094,,,,,,,,
S24,Uttar Pradesh,17,Najibabad,None of the Above,2017,,,,NOTA,,,1516,,,,,,,,
S24,Uttar Pradesh,17,Najibabad,UMESH KUSHWAHA DANI,2017,M,35,GEN,IND,,,848,,,,,,,,
S24,Uttar Pradesh,17,Najibabad,DHARA SINGH,2017,M,52,SC,IND,,,784,,,,,,,,
S24,Uttar Pradesh,17,Najibabad,SAMPURNANAND PANDEY,2017,M,42,GEN,SAMSAMPA,,,447,,,,,,,,
S24,Uttar Pradesh,17,Najibabad,ASARPAT SINGH,2017,M,49,SC,IND,,,439,,,,,,,,
S24,Uttar Pradesh,17,Najibabad,ASHFAK MAHIGEER,2017,M,48,GEN,ADPT,,,393,,,,,,,,
S24,Uttar Pradesh,17,Najibabad,HEMENDRA,2017,M,46,GEN,BMF,,,237,,,,,,,,
S24,Uttar Pradesh,17,Najibabad,KULDEEP,2017,M,27,GEN,BBPP,,,184,,,,,,,,
S24,Uttar Pradesh,17,Najibabad,MOHD UMAR,2017,M,67,GEN,GKP,,,175,,,,,,,,
S24,Uttar Pradesh,18,Nagina ,MANOJ KUMAR PARAS,2017,M,50,SC,SP,,,77145,,,,,,,,
S24,Uttar Pradesh,18,Nagina ,OMWATI DEVI,2017,F,67,SC,BJP,,,69178,,,,,,,,
S24,Uttar Pradesh,18,Nagina ,VIRENDRA PAL,2017,M,31,SC,BSP,,,49693,,,,,,,,
S24,Uttar Pradesh,18,Nagina ,NEELAM,2017,F,26,SC,AIMIM,,,4385,,,,,,,,
S24,Uttar Pradesh,18,Nagina ,DR.PHOOL SINGH CHAUDHARY,2017,M,45,SC,PECP,,,2541,,,,,,,,
S24,Uttar Pradesh,18,Nagina ,YADRAM SINGH CHANDEL,2017,M,52,SC,RLD,,,2113,,,,,,,,
S24,Uttar Pradesh,18,Nagina ,None of the Above,2017,,,,NOTA,,,1431,,,,,,,,
S24,Uttar Pradesh,18,Nagina ,CHANDRVIR SINGH,2017,M,46,SC,IND,,,685,,,,,,,,
S24,Uttar Pradesh,18,Nagina ,VIJAY,2017,M,40,SC,IND,,,636,,,,,,,,
S24,Uttar Pradesh,18,Nagina ,MANOHAR,2017,M,67,SC,IND,,,555,,,,,,,,
