ST_CODE,ST_NAME,MONTH,YEAR,DIST_NAME,AC_NO,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,PARTYABBRE,TVTSPOL_IC,POSITION,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,2,BURARI,GEN,PRAVEN KUMAR,M,GEN,26,GaAP,105,40,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,2,BURARI,GEN,PANKAJ KUMAR AGARAWAL,M,GEN,38,PpGP,96,41,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,2,BURARI,GEN,KALPANA GUPTA,F,GEN,28,RPI(A),85,42,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,3,TIMARPUR,GEN,PANKAJ PUSHKAR,M,GEN,42,AAAP,64477,1,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,3,TIMARPUR,GEN,RAJNI ABBI,F,GEN,52,BJP,43830,2,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,3,TIMARPUR,GEN,SURINDER PAL SINGH,M,GEN,54,INC,14642,6,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,3,TIMARPUR,GEN,MANOJ,M,GEN,37,BSP,592,10,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,3,TIMARPUR,GEN,HARJINDER SINGH,M,GEN,49,IND,581,11,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,3,TIMARPUR,GEN,None of the Above,NULL,NULL,NULL,NOTA,555,13,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,3,TIMARPUR,GEN,SANJEEV KUMAR RANA,M,GEN,46,CPI,542,14,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,3,TIMARPUR,GEN,CHAND MIYA,M,GEN,25,IND,448,15,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,3,TIMARPUR,GEN,SAVITA CHAUDHARY,F,SC,52,IND,170,20,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,3,TIMARPUR,GEN,GUNJAN KUMAR,M,GEN,30,IND,129,21,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,3,TIMARPUR,GEN,SHESH NATH GOSWAMI,M,GEN,32,ABSPARTY,119,22,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,3,TIMARPUR,GEN,RAMESH,M,SC,34,REP,99,23,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,3,TIMARPUR,GEN,PARAS NATH YADAV,M,GEN,46,bjdi,61,25,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,3,TIMARPUR,GEN,VIDYA,F,SC,39,PSPARTY,52,26,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,4,ADARSH NAGAR,GEN,PAWAN KUMAR SHARMA,M,GEN,44,AAAP,54026,1,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,4,ADARSH NAGAR,GEN,RAM KISHAN SINGHAL,M,GEN,63,BJP,33285,3,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,4,ADARSH NAGAR,GEN,MUKESH KUMAR GOEL,M,GEN,54,INC,15341,6,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,4,ADARSH NAGAR,GEN,VIJAY KUMAR AGGARWAL,M,GEN,53,IND,694,9,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,4,ADARSH NAGAR,GEN,RAMNIWAS,M,SC,40,BSP,679,10,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,4,ADARSH NAGAR,GEN,None of the Above,NULL,NULL,NULL,NOTA,459,11,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,4,ADARSH NAGAR,GEN,LAL SINGH,M,GEN,44,IND,263,13,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,4,ADARSH NAGAR,GEN,SUNIL,M,GEN,34,IND,194,18,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,4,ADARSH NAGAR,GEN,NARESH KUMAR CHOUBEY,M,GEN,48,BJKD,108,19,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,4,ADARSH NAGAR,GEN,SUMAN,F,GEN,40,RPI(A),73,20,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH                         ,4,ADARSH NAGAR,GEN,KRISHNA KUMAR SINGH,M,GEN,41,bjdi,61,21,,,,,,,,
U05,NCT OF Delhi,2,2015,NORTH WEST                    ,5,BADLI,GEN,AJESH YADAV,M,GEN,47,AAAP,72795,1,,,,,,,,
